"Statistic Label","Year","County","Species","Forest Owner","UNIT","VALUE"
"Afforestation Area","2023","Co. Dublin","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Dublin","Conifer","Total Afforestation","Hectares",""
"Afforestation Area","2023","Co. Dublin","Conifer","Farmer","Hectares",""
"Afforestation Area","2023","Co. Dublin","Conifer","Non-Farmer","Hectares",""
"Afforestation Area","2023","Co. Dublin","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Galway","Total Afforestation","Total Afforestation","Hectares","139"
"Afforestation Area","2023","Co. Galway","Total Afforestation","Farmer","Hectares","64"
"Afforestation Area","2023","Co. Galway","Total Afforestation","Non-Farmer","Hectares","75"
"Afforestation Area","2023","Co. Galway","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Galway","Broadleaf","Total Afforestation","Hectares","68"
"Afforestation Area","2023","Co. Galway","Broadleaf","Farmer","Hectares","30"
"Afforestation Area","2023","Co. Galway","Broadleaf","Non-Farmer","Hectares","37"
"Afforestation Area","2023","Co. Galway","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Galway","Conifer","Total Afforestation","Hectares","71"
"Afforestation Area","2023","Co. Galway","Conifer","Farmer","Hectares","34"
"Afforestation Area","2023","Co. Galway","Conifer","Non-Farmer","Hectares","37"
"Afforestation Area","2023","Co. Galway","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Kerry","Total Afforestation","Total Afforestation","Hectares","98"
"Afforestation Area","2023","Co. Kerry","Total Afforestation","Farmer","Hectares","65"
"Afforestation Area","2023","Co. Kerry","Total Afforestation","Non-Farmer","Hectares","33"
"Afforestation Area","2023","Co. Kerry","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Kerry","Broadleaf","Total Afforestation","Hectares","52"
"Afforestation Area","2023","Co. Kerry","Broadleaf","Farmer","Hectares","30"
"Afforestation Area","2023","Co. Kerry","Broadleaf","Non-Farmer","Hectares","22"
"Afforestation Area","2023","Co. Kerry","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Kerry","Conifer","Total Afforestation","Hectares","46"
"Afforestation Area","2023","Co. Kerry","Conifer","Farmer","Hectares","35"
"Afforestation Area","2023","Co. Kerry","Conifer","Non-Farmer","Hectares","10"
"Afforestation Area","2023","Co. Kerry","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Kildare","Total Afforestation","Total Afforestation","Hectares","28"
"Afforestation Area","2023","Co. Kildare","Total Afforestation","Farmer","Hectares","20"
"Afforestation Area","2023","Co. Kildare","Total Afforestation","Non-Farmer","Hectares","7"
"Afforestation Area","2023","Co. Kildare","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Kildare","Broadleaf","Total Afforestation","Hectares","18"
"Afforestation Area","2023","Co. Kildare","Broadleaf","Farmer","Hectares","11"
"Afforestation Area","2023","Co. Kildare","Broadleaf","Non-Farmer","Hectares","7"
"Afforestation Area","2023","Co. Kildare","Broadleaf","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Kildare","Conifer","Total Afforestation","Hectares","10"
"Afforestation Area","2023","Co. Kildare","Conifer","Farmer","Hectares","9"
"Afforestation Area","2023","Co. Kildare","Conifer","Non-Farmer","Hectares","1"
"Afforestation Area","2023","Co. Kildare","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Kilkenny","Total Afforestation","Total Afforestation","Hectares","59"
"Afforestation Area","2023","Co. Kilkenny","Total Afforestation","Farmer","Hectares","44"
"Afforestation Area","2023","Co. Kilkenny","Total Afforestation","Non-Farmer","Hectares","14"
"Afforestation Area","2023","Co. Kilkenny","Total Afforestation","Public Sector","Hectares","1"
"Afforestation Area","2023","Co. Kilkenny","Broadleaf","Total Afforestation","Hectares","28"
"Afforestation Area","2023","Co. Kilkenny","Broadleaf","Farmer","Hectares","22"
"Afforestation Area","2023","Co. Kilkenny","Broadleaf","Non-Farmer","Hectares","5"
"Afforestation Area","2023","Co. Kilkenny","Broadleaf","Public Sector","Hectares","1"
"Afforestation Area","2023","Co. Kilkenny","Conifer","Total Afforestation","Hectares","32"
"Afforestation Area","2023","Co. Kilkenny","Conifer","Farmer","Hectares","23"
"Afforestation Area","2023","Co. Kilkenny","Conifer","Non-Farmer","Hectares","9"
"Afforestation Area","2023","Co. Kilkenny","Conifer","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Laois","Total Afforestation","Total Afforestation","Hectares","21"
"Afforestation Area","2023","Co. Laois","Total Afforestation","Farmer","Hectares",""
"Afforestation Area","2023","Co. Laois","Total Afforestation","Non-Farmer","Hectares","21"
"Afforestation Area","2023","Co. Laois","Total Afforestation","Public Sector","Hectares",""
"Afforestation Area","2023","Co. Laois","Broadleaf","Total Afforestation","Hectares","8"
"Afforestation Area","2023","Co. Laois","Broadleaf","Farmer","Hectares",""
